1	2098	2098	Mu	Mu
2	2197	2197	Wh	Wh
3	2006	2006	BT	BT
4	2092	2092	Mu	Mu
5	2095	2095	Mu	Mu
6	2078	2078	MC	MC
7	2131	2131	SB	SB
8	2111	2111	NS	NS
9	2164	2164	ST	ST
10	2038	2038	Ca	Ca
11	2034	2034	Ca	Ca
12	2035	2035	Ca	Ca
13	2162	2162	ST	ST
14	2095	2095	Mu	Mu
15	2057	2057	Ha	Ha
16	2048	2048	Ha	Ha
17	2019	2019	BT	BT
18	2002	2002	BT	BT
19	2178	2178	Tf	Tf
20	2053	2053	Ha	Ha
21	2150	2150	SH	SH
22	2049	2049	Ha	Ha
23	2136	2136	SB	SB
24	2184	2184	Tf	Tf
25	2033	2033	Ca	Ca
26	2117	2117	SA	SA
27	2162	2162	ST	ST
28	2181	2181	Tf	Tf
29	2024	2024	Ca	Ca
30	2080	2080	MC	MC
31	2132	2132	SB	SB
32	2032	2032	Ca	Ca
33	2012	2012	BT	BT
34	2037	2037	Ca	Ca
35	2177	2177	Tf	Tf
36	2071	2071	MC	MC
37	2148	2148	SH	SH
38	2090	2090	Mu	Mu
39	2114	2114	SA	SA
40	2061	2061	HR	HR
41	2134	2134	SB	SB
42	2137	2137	SB	SB
43	2035	2035	Ca	Ca
44	2173	2173	Tf	Tf
45	2135	2135	SB	SB
46	2135	2135	SB	SB
47	2032	2032	Ca	Ca
48	2184	2184	Tf	Tf
49	2141	2141	SG	SG
50	2131	2131	SB	SB
51	2142	2142	SG	SG
52	2010	2010	BT	BT
53	2142	2142	SG	SG
54	2022	2022	Ca	Ca
55	2091	2091	Mu	Mu
56	2184	2184	Tf	Tf
57	2003	2003	BT	BT
58	2136	2136	SB	SB
59	2030	2030	Ca	Ca
60	2045	2045	Ga	Ga
61	2047	2047	Ga	Ga
62	2122	2122	SA	SA
63	2165	2165	ST	ST
64	2036	2036	Ca	Ca
65	2090	2090	Mu	Mu
66	2113	2113	SA	SA
67	2137	2137	SB	SB
68	2156	2156	SM	SM
69	2190	2190	Wh	Wh
70	2083	2083	MC	MC
71	2017	2017	BT	BT
72	2041	2041	Ga	Ga
73	2196	2196	Wh	Wh
74	2080	2080	MC	MC
75	2118	2118	SA	SA
76	2179	2179	Tf	Tf
77	2050	2050	Ha	Ha
78	2070	2070	MC	MC
79	2091	2091	Mu	Mu
80	2011	2011	BT	BT
81	2050	2050	Ha	Ha
82	2029	2029	Ca	Ca
83	2196	2196	Wh	Wh
84	2082	2082	MC	MC
85	2131	2131	SB	SB
86	2188	2188	Wh	Wh
87	2145	2145	SH	SH
